Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Location,Price
69963.20951,12.41543009,5.868204092,3.998680975,39199.93244,"Florida, Orlando",1220556.94
116057.1445,14.72963412,5.664560481,4.98698709,17380.47982,"Florida, Orlando",1682658.503
98559.51534,25.7818744,4.880769563,4.250667123,23865.58777,"California, San Francisco",934148.3089
87892.67874,10.8601272,7.036333351,2.333210332,36531.22547,"New York, Brooklyn",1091008.641
52481.49124,26.21984086,6.383120803,2.742320947,29283.57378,"Florida, Miami",1464456.74
52479.56163,3.555898498,8.328504962,2.877312736,39542.84155,"Illinois, Chicago",1763265.172
44646.68897,23.52715468,4.160547902,3.031457015,48448.31605,"New York, Manhattan",1006658.5
109294.0917,25.57888136,7.219339638,4.261613568,14661.86751,"California, Los Angeles",1204315.803
88089.20094,6.272711932,7.814744393,4.015863119,38382.70866,"California, San Francisco",1957707.885
96645.80622,13.48004944,7.797432846,2.812640153,19213.76623,"Texas, Houston",372197.5753
41646.75954,5.799493465,8.430369835,2.270219374,26579.0691,"Florida, Orlando",1061988.818
117592.7882,21.49151974,7.645168714,2.685728818,11314.50903,"Texas, Houston",1381169.147
106595.4113,16.52508527,8.639050308,5.93752525,15436.29529,"New York, Manhattan",314326.6779
56987.12885,19.42437705,5.663282999,3.874187799,22791.09156,"Florida, Orlando",1314537.053
54545.99738,6.698122042,6.516047084,5.469382019,23679.43221,"Illinois, Chicago",395539.9229
54672.36079,7.14063,4.070398316,5.395009867,45983.40866,"Texas, Houston",1757849.274
64339.37944,2.20342244,4.034787937,4.04607823,39672.51637,"California, San Francisco",1672046.362
81980.51453,10.33995852,5.200633102,4.826750834,48887.31873,"California, Los Angeles",354833.7326
74555.60149,17.23259518,4.504035986,2.771008042,33962.86041,"California, San Francisco",382966.8417
63298.33122,25.88011251,5.30105684,4.75358682,19668.54928,"New York, Manhattan",1581143.684
88948.23158,20.34089598,4.885216473,3.089538317,23106.2012,"New York, Brooklyn",928226.3174
51159.50885,13.62649338,4.142600124,5.328248387,22793.43693,"Texas, Houston",1277543.839
63371.57188,28.64048332,8.546520732,2.334896532,23059.77311,"Texas, Austin",759558.0586
69308.94746,21.85811082,4.041115657,5.092554692,36918.56692,"New York, Brooklyn",594047.0894
76485.59874,27.97479088,7.680410722,2.399747626,31232.31712,"California, Los Angeles",803331.0998
102814.0769,16.30005122,4.760739435,5.524756948,25416.96712,"Florida, Orlando",719413.2904
55973.90257,8.508223969,8.56114811,3.216818073,15963.59075,"California, San Diego",1062122.645
81138.75507,2.531973905,8.463979698,4.617573459,10885.56652,"Florida, Orlando",1569349.481
87393.16551,22.05646069,7.269505732,3.950009114,18753.3871,"Texas, Houston",1242019.993
43716.03302,4.517786942,7.361170749,3.465212581,14298.85616,"California, Los Angeles",1335603.123
88603.58815,9.78047872,4.02669571,4.581767333,41417.80123,"California, San Diego",1099133.614
53641.92989,16.44165633,8.924357831,5.790091922,14499.91831,"California, San Francisco",852047.1883
45204.12744,17.36808105,8.389163018,2.165078989,38969.12949,"Florida, Orlando",543965.0031
115910.843,18.41691271,8.475531129,5.675411424,25426.34759,"Florida, Orlando",902761.2805
117250.5626,5.82140458,7.296222685,4.43632662,12935.13559,"Florida, Miami",1430837.648
104671.7878,12.01238474,5.723934643,5.229257203,42509.20198,"California, Los Angeles",1547421.619
64369.10153,18.89863259,8.468243245,3.535499814,33185.22281,"Florida, Orlando",1097608.625
47813.76912,29.12474707,5.457584641,3.887371899,19430.46051,"New York, Brooklyn",1396495.367
94738.64212,22.10130299,6.813557717,5.475403007,45787.24697,"Texas, Houston",657919.8392
75212.1995,27.75550896,4.498654862,3.659391879,11810.33255,"New York, Brooklyn",1762112.745
49763.05879,23.10414969,8.609778151,4.138638267,18072.78433,"California, Los Angeles",1772091.966
79614.15281,18.1597921,4.703852289,2.080779692,40081.87711,"Illinois, Chicago",844557.4764
42751.08169,6.568677705,5.124484029,2.634392023,38375.11721,"Texas, Houston",1231110.807
112745.6322,20.3338839,6.790670791,4.566746032,21570.86775,"Illinois, Chicago",1331325.448
60702.39853,19.07800741,7.820465001,4.867907604,12480.99501,"Texas, Austin",1103131.066
93001.78275,18.47160594,7.09675653,4.330403747,44323.12289,"Illinois, Chicago",1848941.661
64936.88609,15.20379017,5.160669564,2.573240145,22547.90552,"Illinois, Chicago",1557518.81
81605.44169,16.33104152,4.004715213,3.781621714,17828.5366,"New York, Manhattan",1443267.837
83736.82235,10.69883329,7.785752902,3.420379065,30642.47289,"Illinois, Chicago",1184158.477
54788.35644,16.06006809,8.92603663,3.982645376,46409.08797,"Texas, Austin",444240.4609
117566.7702,6.729121265,8.049565602,5.481316138,11741.86311,"Florida, Orlando",483296.342
102010.6259,24.35005752,6.301033091,5.103445755,40632.16352,"California, San Diego",808315.0658
115159.9153,6.387531686,8.518836307,2.335958006,32898.92912,"Illinois, Chicago",659587.8562
111586.188,3.464022407,6.049238366,5.561236791,27017.96466,"Texas, Austin",1919302.652
87831.9983,13.65113476,6.624670421,3.887068605,39763.21776,"Florida, Miami",996681.2817
113749.9388,20.09091575,6.385648837,4.97544858,48632.97698,"Illinois, Chicago",1790229.246
47079.40016,13.69378792,6.238119363,2.560156925,19168.24845,"California, San Diego",1690735.462
55678.62899,9.025869827,7.875953846,4.682878103,15745.8946,"California, San Diego",1681369.464
43618.18311,17.18696433,6.633844536,2.94530407,46515.26981,"Florida, Miami",666702.7927
66026.42646,11.06306773,5.58358561,3.753523589,36758.1231,"Florida, Orlando",1060447.082
71094.18318,28.05316301,5.290790838,2.06745148,27519.44086,"New York, Manhattan",840518.3858
61707.92254,27.75670905,4.188736585,2.606442552,32930.38281,"New York, Brooklyn",1949698.707
106299.0007,15.56878278,6.915975809,2.368321972,39824.55621,"New York, Manhattan",1790465.312
68540.26614,10.50863583,5.149807077,2.958976692,40921.27595,"New York, Brooklyn",724870.2237
62474.76077,22.37684,4.74066961,2.40007236,46795.76723,"Illinois, Chicago",832984.6134
83415.68665,2.064675361,7.269149819,4.767640106,27073.71156,"Florida, Miami",1199145.704
51273.938,14.76830118,7.406046289,2.116159609,21736.4364,"California, Los Angeles",773629.8347
104175.7585,10.75337843,7.760774461,4.470962002,35586.57067,"New York, Brooklyn",1701700.943
45964.05149,27.69554067,6.517884482,2.562831323,26629.11597,"Texas, Houston",1692693.172
118950.9549,1.348087791,8.470273026,5.780645829,33783.93816,"California, San Diego",1531378.744
101779.5815,17.0316314,8.681713767,5.732376292,26799.43194,"Illinois, Chicago",1471827.348
55897.25452,22.47924385,8.036854699,2.90201241,16119.83147,"Illinois, Chicago",1230412.563
40441.76937,15.06552164,7.17796741,4.457685193,28777.07007,"California, San Diego",890090.8371
